City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Asifabad,IN,74.08,broken clouds,19.3667,79.2833,సిడం కైలాష్
245,Oussouye,SN,82.49,broken clouds,12.485,-16.5469,Auberge du Routard
253,Bundaberg,AU,75.22,broken clouds,-24.85,152.35,Takalvan Motel
254,Kawayan,PH,79.5,overcast clouds,7.5383,122.8725,Babami Waiting Shed
257,Lazaro Cardenas,MX,83.61,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
258,Gladstone,AU,80.78,overcast clouds,-23.85,151.25,Highpoint International Hotel
259,Auki,SB,85.98,broken clouds,-8.7676,160.7034,Auki Motel
267,Dulce Nombre De Culmi,HN,89.83,overcast clouds,15.1,-85.5333,Hotel Zuniama
269,Yanam,IN,75.49,overcast clouds,16.7333,82.2167,The Regency Hotel
270,Bilma,NE,79.68,clear sky,18.6853,12.9164,Expeditions Ténére voyages
271,Thinadhoo,MV,81.1,overcast clouds,0.5333,72.9333,
274,Hirara,JP,75.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
276,Alofi,NU,77.85,scattered clouds,-19.0595,-169.9187,Taloa Heights
277,Wanning,CN,73.8,overcast clouds,18.8003,110.3967,Paradise Hotel
278,Tahta,EG,73.71,clear sky,26.7693,31.5021,فندق الزيات
280,Dunga Bunga,PK,73.36,clear sky,29.7493,73.2432,Karachi baryani and nasta point
281,Sibu,MY,75.51,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
288,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
292,Alta Floresta,BR,77.45,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
298,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
299,Kulhudhuffushi,MV,77.81,overcast clouds,6.6221,73.07,Haajy Guest House 1
302,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
313,Dillon,US,75.54,few clouds,34.4166,-79.3712,Dillon Express Inn
315,Popondetta,PG,89.02,overcast clouds,-8.7537,148.2534,Timos Transit House
316,Banda Aceh,ID,78.08,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
318,Dedougou,BF,82.04,few clouds,12.4667,-3.4667,Hôtel Bon Séjour
319,Kupang,ID,82.78,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
320,Los Amates,GT,81.25,light rain,15.2667,-89.1,Las Basas
321,Nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,El Medina
322,Kalmunai,LK,77.4,overcast clouds,7.4167,81.8167,VS Villa
323,San Jose,US,79.59,scattered clouds,37.3394,-121.895,The Westin San Jose
325,Inirida,CO,75.04,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
327,Simpang,ID,74.3,overcast clouds,-1.2667,104.0833,Budidaya Pembesaran Ikan
328,Cavalcante,BR,78.26,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
329,Lufilufi,WS,91.18,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
334,Itarema,BR,79.23,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
338,Fomboni,KM,76.19,clear sky,-12.28,43.7425,Auberge les abou
340,Atambua,ID,79.57,overcast clouds,-9.1061,124.8925,Ros Muskanan
348,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
349,Avera,US,73.45,broken clouds,33.194,-82.5271,
355,Sao Filipe,CV,78.35,overcast clouds,14.8961,-24.4956,Hotel Xaguate
356,Buchanan,LR,76.48,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
362,Progreso,MX,89.71,broken clouds,21.2833,-89.6667,Playa Linda Hotel
363,Tan An,VN,77.02,overcast clouds,10.5333,106.4167,Mỹ Đình
370,Araouane,ML,87.15,clear sky,18.9048,-3.5265,
372,Puerto Carreno,CO,84.18,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
374,Vao,NC,73.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
378,Jizan,SA,85.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
381,Poya,NC,81.12,scattered clouds,-21.35,165.15,
384,Karratha,AU,74.64,clear sky,-20.7377,116.8463,ibis Styles Karratha
